od_no,o_zone_id,d_zone_id,o_zone_agent_type_cover_flag,d_zone_agent_type_cover_flag,path_id,information_type,agent_type,demand_period,volume,assign_volume,subarea_flag,sensor_flag,toll,travel_time,VDF_travel_time,travel_time_without_access_link,distance_km
1,1,2,0,0,0,0,sov,AM,5.20,5,1,0,0.0,12.6,1.3335,1.3335,2.5033
2,1,2,0,0,6,0,sov,AM,2.60,3,1,0,0.0,15.6,1.3377,1.3377,2.5090
3,1,2,0,0,5,0,sov,AM,2.60,3,1,0,0.0,15.8,1.3346,1.3346,2.5207
4,1,2,0,0,7,0,sov,AM,2.60,3,1,0,0.0,13.8,1.3104,1.3104,2.6412
5,1,2,0,0,1,0,sov,AM,5.20,5,1,0,0.0,13.7,1.2670,1.2670,2.5066
6,1,2,0,0,4,0,sov,AM,2.60,3,1,0,0.0,8.9,1.3058,1.3058,2.6661
7,1,2,0,0,3,0,sov,AM,2.60,3,1,0,0.0,10.3,1.3063,1.3063,2.6778
8,1,2,0,0,2,0,sov,AM,2.60,3,1,0,0.0,16.2,1.2665,1.2665,2.5309
9,1,3,0,0,6,0,sov,AM,34.80,35,1,0,0.0,11.9,1.3897,1.3897,2.9400
10,1,3,0,0,0,0,sov,AM,69.60,70,1,0,0.0,12.2,1.3856,1.3856,2.9337
11,1,3,0,0,5,0,sov,AM,34.80,35,1,0,0.0,11.9,1.3853,1.3853,2.9370
12,1,3,0,0,7,0,sov,AM,34.80,35,1,0,0.0,10.0,1.3630,1.3630,3.0728
13,1,3,0,0,1,0,sov,AM,69.60,70,1,0,0.0,13.5,1.3206,1.3206,2.9404
14,1,3,0,0,2,0,sov,AM,34.80,35,1,0,0.0,12.1,1.3179,1.3179,2.9487
15,1,3,0,0,4,0,sov,AM,34.80,35,1,0,0.0,6.8,1.3566,1.3566,3.0825
16,1,3,0,0,3,0,sov,AM,34.80,35,1,0,0.0,7.9,1.3571,1.3571,3.0942
17,1,4,0,0,6,0,sov,AM,200.00,200,1,0,0.0,15.1,9.8449,9.8449,2.9140
18,1,4,0,0,5,0,sov,AM,200.00,200,1,0,0.0,16.0,9.8493,9.8493,2.9104
19,1,4,0,0,0,0,sov,AM,400.00,400,1,0,0.0,15.9,9.9091,9.9091,2.8096
20,1,4,0,0,1,0,sov,AM,400.00,400,1,0,0.0,15.4,9.8568,9.8568,2.8189
21,1,4,0,0,4,0,sov,AM,200.00,200,1,0,0.0,10.6,9.8104,9.8104,3.0566
22,1,4,0,0,7,0,sov,AM,200.00,200,1,0,0.0,13.6,9.8950,9.8950,2.9510
23,1,4,0,0,3,0,sov,AM,200.00,200,1,0,0.0,10.3,9.8083,9.8083,3.0723
24,1,4,0,0,2,0,sov,AM,200.00,200,1,0,0.0,13.7,9.6904,9.6904,2.9261
25,1,2,0,0,0,0,hov2,AM,1.04,1,1,0,0.0,1.3,1.3335,1.3335,2.5033
26,1,2,0,0,6,0,hov2,AM,0.52,1,1,0,0.0,1.3,1.3377,1.3377,2.5090
27,1,2,0,0,5,0,hov2,AM,0.52,1,1,0,0.0,1.3,1.3346,1.3346,2.5207
28,1,2,0,0,7,0,hov2,AM,0.52,1,1,0,0.0,1.3,1.3104,1.3104,2.6412
29,1,2,0,0,1,0,hov2,AM,1.04,1,1,0,0.0,1.3,1.2670,1.2670,2.5066
30,1,2,0,0,4,0,hov2,AM,0.52,1,1,0,0.0,1.3,1.3058,1.3058,2.6661
31,1,2,0,0,3,0,hov2,AM,0.52,1,1,0,0.0,1.3,1.3063,1.3063,2.6778
32,1,2,0,0,2,0,hov2,AM,0.52,1,1,0,0.0,1.3,1.2665,1.2665,2.5309
33,1,3,0,0,6,0,hov2,AM,2.00,2,1,0,0.0,15.9,1.3897,1.3897,2.9400
34,1,3,0,0,0,0,hov2,AM,4.00,4,1,0,0.0,12.6,1.3856,1.3856,2.9337
35,1,3,0,0,5,0,hov2,AM,2.00,2,1,0,0.0,16.0,1.3853,1.3853,2.9370
36,1,3,0,0,7,0,hov2,AM,2.00,2,1,0,0.0,13.8,1.3630,1.3630,3.0728
37,1,3,0,0,1,0,hov2,AM,4.00,4,1,0,0.0,12.7,1.3206,1.3206,2.9404
38,1,3,0,0,2,0,hov2,AM,2.00,2,1,0,0.0,16.0,1.3179,1.3179,2.9487
39,1,3,0,0,4,0,hov2,AM,2.00,2,1,0,0.0,9.1,1.3566,1.3566,3.0825
40,1,3,0,0,3,0,hov2,AM,2.00,2,1,0,0.0,11.0,1.3571,1.3571,3.0942
41,1,4,0,0,6,0,hov2,AM,2.00,2,1,0,0.0,20.1,9.8449,9.8449,2.9140
42,1,4,0,0,5,0,hov2,AM,2.00,2,1,0,0.0,21.3,9.8493,9.8493,2.9104
43,1,4,0,0,0,0,hov2,AM,4.00,4,1,0,0.0,15.2,9.9091,9.9091,2.8096
44,1,4,0,0,1,0,hov2,AM,4.00,4,1,0,0.0,14.7,9.8568,9.8568,2.8189
45,1,4,0,0,4,0,hov2,AM,2.00,2,1,0,0.0,13.0,9.8104,9.8104,3.0566
46,1,4,0,0,7,0,hov2,AM,2.00,2,1,0,0.0,18.3,9.8950,9.8950,2.9510
47,1,4,0,0,3,0,hov2,AM,2.00,2,1,0,0.0,14.0,9.8083,9.8083,3.0723
48,1,4,0,0,2,0,hov2,AM,2.00,2,1,0,0.0,18.0,9.6904,9.6904,2.9261
49,1,2,0,0,0,0,mut,AM,10.00,10,1,0,0.0,10.4,1.3335,1.3335,2.5033
50,1,2,0,0,6,0,mut,AM,5.00,5,1,0,0.0,12.5,1.3377,1.3377,2.5090
51,1,2,0,0,5,0,mut,AM,5.00,5,1,0,0.0,12.7,1.3346,1.3346,2.5207
52,1,2,0,0,7,0,mut,AM,5.00,5,1,0,0.0,10.6,1.3104,1.3104,2.6412
53,1,2,0,0,1,0,mut,AM,10.00,10,1,0,0.0,11.4,1.2670,1.2670,2.5066
54,1,2,0,0,4,0,mut,AM,5.00,5,1,0,0.0,6.9,1.3058,1.3058,2.6661
55,1,2,0,0,3,0,mut,AM,5.00,5,1,0,0.0,7.8,1.3063,1.3063,2.6778
56,1,2,0,0,2,0,mut,AM,5.00,5,1,0,0.0,13.2,1.2665,1.2665,2.5309
57,1,3,0,0,6,0,mut,AM,5.00,5,1,0,0.0,13.6,1.3897,1.3897,2.9400
58,1,3,0,0,0,0,mut,AM,10.00,10,1,0,0.0,11.1,1.3856,1.3856,2.9337
59,1,3,0,0,5,0,mut,AM,5.00,5,1,0,0.0,13.6,1.3853,1.3853,2.9370
60,1,3,0,0,7,0,mut,AM,5.00,5,1,0,0.0,11.7,1.3630,1.3630,3.0728
61,1,3,0,0,1,0,mut,AM,10.00,10,1,0,0.0,12.1,1.3206,1.3206,2.9404
62,1,3,0,0,2,0,mut,AM,5.00,5,1,0,0.0,14.0,1.3179,1.3179,2.9487
63,1,3,0,0,4,0,mut,AM,5.00,5,1,0,0.0,7.5,1.3566,1.3566,3.0825
64,1,3,0,0,3,0,mut,AM,5.00,5,1,0,0.0,8.8,1.3571,1.3571,3.0942
65,1,4,0,0,6,0,mut,AM,5.00,5,1,0,0.0,17.0,9.8449,9.8449,2.9140
66,1,4,0,0,5,0,mut,AM,5.00,5,1,0,0.0,17.6,9.8493,9.8493,2.9104
67,1,4,0,0,0,0,mut,AM,10.00,10,1,0,0.0,14.6,9.9091,9.9091,2.8096
68,1,4,0,0,1,0,mut,AM,10.00,10,1,0,0.0,14.0,9.8568,9.8568,2.8189
69,1,4,0,0,4,0,mut,AM,5.00,5,1,0,0.0,11.7,9.8104,9.8104,3.0566
70,1,4,0,0,7,0,mut,AM,5.00,5,1,0,0.0,15.5,9.8950,9.8950,2.9510
71,1,4,0,0,3,0,mut,AM,5.00,5,1,0,0.0,11.2,9.8083,9.8083,3.0723
72,1,4,0,0,2,0,mut,AM,5.00,5,1,0,0.0,15.9,9.6904,9.6904,2.9261
73,2,1,0,0,1,0,sov,AM,56.00,56,1,0,0.0,2.4,1.0018,1.0018,1.9951
74,2,1,0,0,0,0,sov,AM,44.80,45,1,0,0.0,2.4,1.0007,1.0007,1.9924
75,2,1,0,0,2,0,sov,AM,11.20,11,1,0,0.0,2.4,1.0007,1.0007,1.9926
76,2,3,0,0,2,0,sov,AM,57.60,58,1,0,0.0,2.5,1.0480,1.0480,2.1097
77,2,3,0,0,1,0,sov,AM,38.40,38,1,0,0.0,2.5,1.0484,1.0484,2.1111
78,2,3,0,0,0,0,sov,AM,38.40,38,1,0,0.0,2.5,1.0476,1.0476,2.1083
79,2,3,0,0,3,0,sov,AM,38.40,38,1,0,0.0,2.6,1.0475,1.0475,2.1084
80,2,3,0,0,4,0,sov,AM,19.20,19,1,0,0.0,2.6,1.0474,1.0474,2.1082
81,2,4,0,0,1,0,sov,AM,800.00,800,1,0,0.0,3.0,0.9508,0.9508,1.9925
82,2,4,0,0,0,0,sov,AM,800.00,800,1,0,0.0,3.1,0.8895,0.8895,1.9924
83,2,4,0,0,4,0,sov,AM,400.00,400,1,0,0.0,3.1,1.0428,1.0428,2.2307
84,2,4,0,0,3,0,sov,AM,800.00,800,1,0,0.0,3.1,1.0556,1.0556,2.2315
85,2,4,0,0,2,0,sov,AM,800.00,800,1,0,0.0,2.9,0.9149,0.9149,2.2314
86,2,4,0,0,5,0,sov,AM,400.00,400,1,0,0.0,3.1,1.0514,1.0514,1.9948
87,2,1,0,0,1,0,hov2,AM,10.00,10,1,0,0.0,2.3,1.0018,1.0018,1.9951
88,2,1,0,0,0,0,hov2,AM,8.00,8,1,0,0.0,2.3,1.0007,1.0007,1.9924
89,2,1,0,0,2,0,hov2,AM,2.00,2,1,0,0.0,2.3,1.0007,1.0007,1.9926
90,2,3,0,0,2,0,hov2,AM,6.00,6,1,0,0.0,2.3,1.0480,1.0480,2.1097
91,2,3,0,0,1,0,hov2,AM,4.00,4,1,0,0.0,2.3,1.0484,1.0484,2.1111
92,2,3,0,0,0,0,hov2,AM,4.00,4,1,0,0.0,2.4,1.0476,1.0476,2.1083
93,2,3,0,0,3,0,hov2,AM,4.00,4,1,0,0.0,2.4,1.0475,1.0475,2.1084
94,2,3,0,0,4,0,hov2,AM,2.00,2,1,0,0.0,2.5,1.0474,1.0474,2.1082
95,2,4,0,0,1,0,hov2,AM,4.00,4,1,0,0.0,2.3,0.9508,0.9508,1.9925
96,2,4,0,0,0,0,hov2,AM,4.00,4,1,0,0.0,2.3,0.8895,0.8895,1.9924
97,2,4,0,0,4,0,hov2,AM,2.00,2,1,0,0.0,3.4,1.0428,1.0428,2.2307
98,2,4,0,0,3,0,hov2,AM,4.00,4,1,0,0.0,2.4,1.0556,1.0556,2.2315
99,2,4,0,0,2,0,hov2,AM,4.00,4,1,0,0.0,2.3,0.9149,0.9149,2.2314
100,2,4,0,0,5,0,hov2,AM,2.00,2,1,0,0.0,3.3,1.0514,1.0514,1.9948
101,2,1,0,0,1,0,mut,AM,10.00,10,1,0,0.0,2.3,1.0018,1.0018,1.9951
102,2,1,0,0,0,0,mut,AM,8.00,8,1,0,0.0,2.4,1.0007,1.0007,1.9924
103,2,1,0,0,2,0,mut,AM,2.00,2,1,0,0.0,2.5,1.0007,1.0007,1.9926
104,2,3,0,0,2,0,mut,AM,15.00,15,1,0,0.0,2.5,1.0480,1.0480,2.1097
105,2,3,0,0,1,0,mut,AM,10.00,10,1,0,0.0,2.5,1.0484,1.0484,2.1111
106,2,3,0,0,0,0,mut,AM,10.00,10,1,0,0.0,2.6,1.0476,1.0476,2.1083
107,2,3,0,0,3,0,mut,AM,10.00,10,1,0,0.0,2.6,1.0475,1.0475,2.1084
108,2,3,0,0,4,0,mut,AM,5.00,5,1,0,0.0,2.4,1.0474,1.0474,2.1082
109,2,4,0,0,1,0,mut,AM,10.00,10,1,0,0.0,2.8,0.9508,0.9508,1.9925
110,2,4,0,0,0,0,mut,AM,10.00,10,1,0,0.0,2.9,0.8895,0.8895,1.9924
111,2,4,0,0,4,0,mut,AM,5.00,5,1,0,0.0,2.6,1.0428,1.0428,2.2307
112,2,4,0,0,3,0,mut,AM,10.00,10,1,0,0.0,3.0,1.0556,1.0556,2.2315
113,2,4,0,0,2,0,mut,AM,10.00,10,1,0,0.0,2.8,0.9149,0.9149,2.2314
114,2,4,0,0,5,0,mut,AM,5.00,5,1,0,0.0,2.5,1.0514,1.0514,1.9948
115,3,1,0,0,6,0,sov,AM,34.80,35,1,0,0.0,11.9,1.4367,1.4367,2.9385
116,3,1,0,0,1,0,sov,AM,104.40,104,1,0,0.0,6.2,1.4008,1.4008,2.9347
117,3,1,0,0,2,0,sov,AM,34.80,35,1,0,0.0,5.3,1.4002,1.4002,2.9357
118,3,1,0,0,0,0,sov,AM,69.60,70,1,0,0.0,8.6,1.4222,1.4222,2.9317
119,3,1,0,0,5,0,sov,AM,34.80,35,1,0,0.0,12.3,1.4248,1.4248,2.9321
120,3,1,0,0,4,0,sov,AM,34.80,35,1,0,0.0,7.9,1.4201,1.4201,2.9322
121,3,1,0,0,3,0,sov,AM,34.80,35,1,0,0.0,5.5,1.4138,1.4138,3.0634
122,3,2,0,0,0,0,sov,AM,5.20,5,1,0,0.0,6.8,1.1631,1.1631,2.1812
123,3,2,0,0,4,0,sov,AM,2.60,3,1,0,0.0,8.5,1.1631,1.1631,2.1955
124,3,2,0,0,5,0,sov,AM,2.60,3,1,0,0.0,8.5,1.1631,1.1631,2.1955
125,3,2,0,0,6,0,sov,AM,2.60,3,1,0,0.0,8.2,1.1733,1.1733,2.1872
126,3,2,0,0,3,0,sov,AM,2.60,3,1,0,0.0,4.7,1.1571,1.1571,2.3265
127,3,2,0,0,1,0,sov,AM,5.20,5,1,0,0.0,3.9,1.1408,1.1408,2.1831
128,3,2,0,0,2,0,sov,AM,2.60,3,1,0,0.0,5.0,1.1425,1.1425,2.1963
129,3,2,0,0,7,0,sov,AM,2.60,3,1,0,0.0,5.0,1.1407,1.1407,2.1826
130,3,4,0,0,5,0,sov,AM,150.00,150,1,0,0.0,16.3,9.9088,9.9088,3.0011
131,3,4,0,0,4,0,sov,AM,150.00,150,1,0,0.0,12.1,9.8916,9.8916,3.0040
132,3,4,0,0,6,0,sov,AM,150.00,150,1,0,0.0,15.0,9.9079,9.9079,3.0065
133,3,4,0,0,1,0,sov,AM,300.00,300,1,0,0.0,7.4,9.9529,9.9529,2.9100
134,3,4,0,0,0,0,sov,AM,300.00,300,1,0,0.0,16.0,9.9608,9.9608,2.9011
135,3,4,0,0,3,0,sov,AM,150.00,150,1,0,0.0,7.7,9.8815,9.8815,3.1374
136,3,4,0,0,2,0,sov,AM,150.00,150,1,0,0.0,6.7,9.7887,9.7887,3.0079
137,3,4,0,0,7,0,sov,AM,150.00,150,1,0,0.0,9.5,9.9487,9.9487,2.9086
138,3,1,0,0,6,0,hov2,AM,2.00,2,1,0,0.0,17.3,1.4367,1.4367,2.9385
139,3,1,0,0,1,0,hov2,AM,6.00,6,1,0,0.0,5.0,1.4008,1.4008,2.9347
140,3,1,0,0,2,0,hov2,AM,2.00,2,1,0,0.0,7.8,1.4002,1.4002,2.9357
141,3,1,0,0,0,0,hov2,AM,4.00,4,1,0,0.0,7.0,1.4222,1.4222,2.9317
142,3,1,0,0,5,0,hov2,AM,2.00,2,1,0,0.0,16.5,1.4248,1.4248,2.9321
143,3,1,0,0,4,0,hov2,AM,2.00,2,1,0,0.0,9.5,1.4201,1.4201,2.9322
144,3,1,0,0,3,0,hov2,AM,2.00,2,1,0,0.0,6.3,1.4138,1.4138,3.0634
145,3,2,0,0,0,0,hov2,AM,4.00,4,1,0,0.0,5.8,1.1631,1.1631,2.1812
146,3,2,0,0,4,0,hov2,AM,2.00,2,1,0,0.0,7.5,1.1631,1.1631,2.1955
147,3,2,0,0,5,0,hov2,AM,2.00,2,1,0,0.0,7.6,1.1631,1.1631,2.1955
148,3,2,0,0,6,0,hov2,AM,2.00,2,1,0,0.0,7.2,1.1733,1.1733,2.1872
149,3,2,0,0,3,0,hov2,AM,2.00,2,1,0,0.0,4.5,1.1571,1.1571,2.3265
150,3,2,0,0,1,0,hov2,AM,4.00,4,1,0,0.0,3.2,1.1408,1.1408,2.1831
151,3,2,0,0,2,0,hov2,AM,2.00,2,1,0,0.0,4.8,1.1425,1.1425,2.1963
152,3,2,0,0,7,0,hov2,AM,2.00,2,1,0,0.0,4.9,1.1407,1.1407,2.1826
153,3,4,0,0,5,0,hov2,AM,2.00,2,1,0,0.0,22.8,9.9088,9.9088,3.0011
154,3,4,0,0,4,0,hov2,AM,2.00,2,1,0,0.0,15.2,9.8916,9.8916,3.0040
155,3,4,0,0,6,0,hov2,AM,2.00,2,1,0,0.0,21.4,9.9079,9.9079,3.0065
156,3,4,0,0,1,0,hov2,AM,4.00,4,1,0,0.0,6.1,9.9529,9.9529,2.9100
157,3,4,0,0,0,0,hov2,AM,4.00,4,1,0,0.0,15.8,9.9608,9.9608,2.9011
158,3,4,0,0,3,0,hov2,AM,2.00,2,1,0,0.0,10.1,9.8815,9.8815,3.1374
159,3,4,0,0,2,0,hov2,AM,2.00,2,1,0,0.0,9.0,9.7887,9.7887,3.0079
160,3,4,0,0,7,0,hov2,AM,2.00,2,1,0,0.0,11.0,9.9487,9.9487,2.9086
161,3,1,0,0,6,0,mut,AM,2.00,2,1,0,0.0,17.6,1.4367,1.4367,2.9385
162,3,1,0,0,1,0,mut,AM,6.00,6,1,0,0.0,5.1,1.4008,1.4008,2.9347
163,3,1,0,0,2,0,mut,AM,2.00,2,1,0,0.0,8.5,1.4002,1.4002,2.9357
164,3,1,0,0,0,0,mut,AM,4.00,4,1,0,0.0,8.6,1.4222,1.4222,2.9317
165,3,1,0,0,5,0,mut,AM,2.00,2,1,0,0.0,18.5,1.4248,1.4248,2.9321
166,3,1,0,0,4,0,mut,AM,2.00,2,1,0,0.0,11.8,1.4201,1.4201,2.9322
167,3,1,0,0,3,0,mut,AM,2.00,2,1,0,0.0,8.5,1.4138,1.4138,3.0634
168,3,2,0,0,0,0,mut,AM,4.00,4,1,0,0.0,7.2,1.1631,1.1631,2.1812
169,3,2,0,0,4,0,mut,AM,2.00,2,1,0,0.0,11.2,1.1631,1.1631,2.1955
170,3,2,0,0,5,0,mut,AM,2.00,2,1,0,0.0,11.3,1.1631,1.1631,2.1955
171,3,2,0,0,6,0,mut,AM,2.00,2,1,0,0.0,10.2,1.1733,1.1733,2.1872
172,3,2,0,0,3,0,mut,AM,2.00,2,1,0,0.0,6.9,1.1571,1.1571,2.3265
173,3,2,0,0,1,0,mut,AM,4.00,4,1,0,0.0,3.4,1.1408,1.1408,2.1831
174,3,2,0,0,2,0,mut,AM,2.00,2,1,0,0.0,5.2,1.1425,1.1425,2.1963
175,3,2,0,0,7,0,mut,AM,2.00,2,1,0,0.0,6.9,1.1407,1.1407,2.1826
176,3,4,0,0,5,0,mut,AM,5.00,5,1,0,0.0,18.2,9.9088,9.9088,3.0011
177,3,4,0,0,4,0,mut,AM,5.00,5,1,0,0.0,13.8,9.8916,9.8916,3.0040
178,3,4,0,0,6,0,mut,AM,5.00,5,1,0,0.0,17.8,9.9079,9.9079,3.0065
179,3,4,0,0,1,0,mut,AM,10.00,10,1,0,0.0,7.0,9.9529,9.9529,2.9100
180,3,4,0,0,0,0,mut,AM,10.00,10,1,0,0.0,15.0,9.9608,9.9608,2.9011
181,3,4,0,0,3,0,mut,AM,5.00,5,1,0,0.0,8.4,9.8815,9.8815,3.1374
182,3,4,0,0,2,0,mut,AM,5.00,5,1,0,0.0,7.1,9.7887,9.7887,3.0079
183,3,4,0,0,7,0,mut,AM,5.00,5,1,0,0.0,9.5,9.9487,9.9487,2.9086
184,4,1,0,0,1,0,sov,AM,25.00,25,1,0,0.0,5.3,1.4775,1.4775,3.0319
185,4,1,0,0,7,0,sov,AM,12.50,13,1,0,0.0,6.2,1.5700,1.5700,3.0310
186,4,1,0,0,6,0,sov,AM,12.50,12,1,0,0.0,6.9,1.5716,1.5716,3.0310
187,4,1,0,0,2,0,sov,AM,12.50,12,1,0,0.0,3.9,1.5218,1.5218,3.0314
188,4,1,0,0,5,0,sov,AM,12.50,12,1,0,0.0,5.9,1.4986,1.4986,3.1076
189,4,1,0,0,3,0,sov,AM,12.50,13,1,0,0.0,4.9,1.5206,1.5206,3.0283
190,4,1,0,0,4,0,sov,AM,12.50,13,1,0,0.0,5.2,1.5205,1.5205,3.0281
191,4,1,0,0,0,0,sov,AM,25.00,25,1,0,0.0,5.8,1.5208,1.5208,3.0278
192,4,2,0,0,1,0,sov,AM,600.00,600,1,0,0.0,3.2,0.9336,0.9336,2.2845
193,4,2,0,0,6,0,sov,AM,300.00,300,1,0,0.0,3.5,1.0569,1.0569,2.2897
194,4,2,0,0,7,0,sov,AM,300.00,300,1,0,0.0,3.6,1.0549,1.0549,2.2867
195,4,2,0,0,0,0,sov,AM,600.00,600,1,0,0.0,3.4,0.9832,0.9832,2.2844
196,4,2,0,0,5,0,sov,AM,300.00,300,1,0,0.0,3.2,0.9600,0.9600,2.5515
197,4,2,0,0,2,0,sov,AM,300.00,300,1,0,0.0,3.1,0.9474,0.9474,2.4718
198,4,2,0,0,4,0,sov,AM,300.00,300,1,0,0.0,3.2,0.9833,0.9833,2.4728
199,4,2,0,0,3,0,sov,AM,300.00,300,1,0,0.0,3.2,0.9822,0.9822,2.4740
200,4,3,0,0,1,0,sov,AM,25.00,25,1,0,0.0,3.1,1.2520,1.2520,2.6806
201,4,3,0,0,4,0,sov,AM,25.00,25,1,0,0.0,3.6,1.3445,1.3445,2.6799
202,4,3,0,0,3,0,sov,AM,12.50,12,1,0,0.0,2.7,1.2710,1.2710,2.7560
203,4,3,0,0,2,0,sov,AM,12.50,12,1,0,0.0,2.8,1.2962,1.2962,2.6791
204,4,3,0,0,0,0,sov,AM,50.00,50,1,0,0.0,3.4,1.2951,1.2951,2.6765
205,4,1,0,0,1,0,hov2,AM,4.00,4,1,0,0.0,4.6,1.4775,1.4775,3.0319
206,4,1,0,0,7,0,hov2,AM,2.00,2,1,0,0.0,8.8,1.5700,1.5700,3.0310
207,4,1,0,0,6,0,hov2,AM,2.00,2,1,0,0.0,11.5,1.5716,1.5716,3.0310
208,4,1,0,0,2,0,hov2,AM,2.00,2,1,0,0.0,6.9,1.5218,1.5218,3.0314
209,4,1,0,0,5,0,hov2,AM,2.00,2,1,0,0.0,9.5,1.4986,1.4986,3.1076
210,4,1,0,0,3,0,hov2,AM,2.00,2,1,0,0.0,6.9,1.5206,1.5206,3.0283
211,4,1,0,0,4,0,hov2,AM,2.00,2,1,0,0.0,7.4,1.5205,1.5205,3.0281
212,4,1,0,0,0,0,hov2,AM,4.00,4,1,0,0.0,6.7,1.5208,1.5208,3.0278
213,4,2,0,0,1,0,hov2,AM,2.00,2,1,0,0.0,3.3,0.9336,0.9336,2.2845
214,4,2,0,0,6,0,hov2,AM,1.00,1,1,0,0.0,1.1,1.0569,1.0569,2.2897
215,4,2,0,0,7,0,hov2,AM,1.00,1,1,0,0.0,1.1,1.0549,1.0549,2.2867
216,4,2,0,0,0,0,hov2,AM,2.00,2,1,0,0.0,3.7,0.9832,0.9832,2.2844
217,4,2,0,0,5,0,hov2,AM,1.00,1,1,0,0.0,1.0,0.9600,0.9600,2.5515
218,4,2,0,0,2,0,hov2,AM,1.00,1,1,0,0.0,0.9,0.9474,0.9474,2.4718
219,4,2,0,0,4,0,hov2,AM,1.00,1,1,0,0.0,1.0,0.9833,0.9833,2.4728
220,4,2,0,0,3,0,hov2,AM,1.00,1,1,0,0.0,1.0,0.9822,0.9822,2.4740
221,4,3,0,0,1,0,hov2,AM,5.00,5,1,0,0.0,2.8,1.2520,1.2520,2.6806
222,4,3,0,0,4,0,hov2,AM,5.00,5,1,0,0.0,3.4,1.3445,1.3445,2.6799
223,4,3,0,0,3,0,hov2,AM,2.50,2,1,0,0.0,2.6,1.2710,1.2710,2.7560
224,4,3,0,0,2,0,hov2,AM,2.50,2,1,0,0.0,3.7,1.2962,1.2962,2.6791
225,4,3,0,0,0,0,hov2,AM,10.00,10,1,0,0.0,3.3,1.2951,1.2951,2.6765
226,4,1,0,0,1,0,mut,AM,4.00,4,1,0,0.0,4.7,1.4775,1.4775,3.0319
227,4,1,0,0,7,0,mut,AM,2.00,2,1,0,0.0,10.2,1.5700,1.5700,3.0310
228,4,1,0,0,6,0,mut,AM,2.00,2,1,0,0.0,11.8,1.5716,1.5716,3.0310
229,4,1,0,0,2,0,mut,AM,2.00,2,1,0,0.0,7.6,1.5218,1.5218,3.0314
230,4,1,0,0,5,0,mut,AM,2.00,2,1,0,0.0,9.7,1.4986,1.4986,3.1076
231,4,1,0,0,3,0,mut,AM,2.00,2,1,0,0.0,7.6,1.5206,1.5206,3.0283
232,4,1,0,0,4,0,mut,AM,2.00,2,1,0,0.0,8.7,1.5205,1.5205,3.0281
233,4,1,0,0,0,0,mut,AM,4.00,4,1,0,0.0,6.9,1.5208,1.5208,3.0278
234,4,2,0,0,1,0,mut,AM,10.00,10,1,0,0.0,3.0,0.9336,0.9336,2.2845
235,4,2,0,0,6,0,mut,AM,5.00,5,1,0,0.0,2.9,1.0569,1.0569,2.2897
236,4,2,0,0,7,0,mut,AM,5.00,5,1,0,0.0,3.0,1.0549,1.0549,2.2867
237,4,2,0,0,0,0,mut,AM,10.00,10,1,0,0.0,3.2,0.9832,0.9832,2.2844
238,4,2,0,0,5,0,mut,AM,5.00,5,1,0,0.0,2.8,0.9600,0.9600,2.5515
239,4,2,0,0,2,0,mut,AM,5.00,5,1,0,0.0,2.8,0.9474,0.9474,2.4718
240,4,2,0,0,4,0,mut,AM,5.00,5,1,0,0.0,2.9,0.9833,0.9833,2.4728
241,4,2,0,0,3,0,mut,AM,5.00,5,1,0,0.0,2.9,0.9822,0.9822,2.4740
242,4,3,0,0,1,0,mut,AM,10.00,10,1,0,0.0,3.2,1.2520,1.2520,2.6806
243,4,3,0,0,4,0,mut,AM,10.00,10,1,0,0.0,3.5,1.3445,1.3445,2.6799
244,4,3,0,0,3,0,mut,AM,5.00,5,1,0,0.0,2.8,1.2710,1.2710,2.7560
245,4,3,0,0,2,0,mut,AM,5.00,5,1,0,0.0,3.6,1.2962,1.2962,2.6791
246,4,3,0,0,0,0,mut,AM,20.00,20,1,0,0.0,3.3,1.2951,1.2951,2.6765
