node_id,node_no,node_type,is_boundary,#_of_outgoing_nodes,activity_node_flag,agent_type,zone_id,cell_code,info_zone_flag,x_coord,y_coord
202926,0,,0,0,1,, 6,,0,-112.480687,33.740538
202925,1,,0,0,0,, -1,,0,-112.446316,33.713652
202924,2,,0,0,0,, -1,,0,-112.463132,33.711342
202923,3,,0,0,0,, -1,,0,-112.460994,33.725310
202909,4,,0,0,0,, -1,,0,-112.452687,33.638513
202908,5,,0,0,0,, -1,,0,-112.461442,33.638386
202905,6,,0,0,0,, -1,,0,-112.478594,33.682073
202904,7,,0,0,0,, -1,,0,-112.440810,33.682018
202894,8,,0,0,1,, 16,,0,-112.478543,33.711346
615,9,,1,0,1,, 615,,0,-112.462040,33.693113
602,10,,1,0,1,, 602,,0,-112.481753,33.611509
2166,11,,1,0,1,, 2166,,0,-112.467972,33.659825
202855,12,,0,0,1,, 5,,0,-112.472467,33.638364
2146,13,,1,0,1,, 2146,,0,-112.464659,33.717140
202831,14,,0,0,0,, -1,,0,-112.463132,33.718526
202825,15,,0,0,0,, -1,,0,-112.464113,33.711342
202824,16,,0,0,0,, -1,,0,-112.469722,33.711339
2125,17,,1,0,1,, 2125,,0,-112.474416,33.729884
620,18,,1,0,1,, 620,,0,-112.433183,33.684132
202809,19,,0,0,0,, -1,,0,-112.412007,33.686868
645,20,,1,0,1,, 645,,0,-112.333253,33.631209
202808,21,,0,0,0,, -1,,0,-112.324798,33.630770
647,22,,1,0,1,, 647,,0,-112.340401,33.687231
202807,23,,0,0,0,, -1,,0,-112.342306,33.682083
202806,24,,0,0,1,, 8,,0,-112.313380,33.681851
653,25,,1,0,1,, 653,,0,-112.331604,33.675656
202804,26,,0,0,0,, -1,,0,-112.325834,33.674807
654,27,,1,0,1,, 654,,0,-112.329712,33.647780
202803,28,,0,0,0,, -1,,0,-112.325009,33.653237
202796,29,,0,0,0,, -1,,0,-112.423245,33.695797
202790,30,,0,0,0,, -1,,0,-112.405334,33.681636
202789,31,,0,0,0,, -1,,0,-112.325928,33.681420
202788,32,,0,0,0,, -1,,0,-112.334084,33.692359
202785,33,,0,0,0,, -1,,0,-112.325524,33.667625
202784,34,,0,0,0,, -1,,0,-112.331676,33.666065
202783,35,,0,0,0,, -1,,0,-112.324760,33.638727
202782,36,,0,0,0,, -1,,0,-112.334501,33.638522
202780,37,,0,0,1,, 3,,0,-112.330766,33.623526
202768,38,,0,0,0,, -1,,0,-112.396526,33.687434
202767,39,,0,0,0,, -1,,0,-112.403252,33.681410
202766,40,,0,0,1,, 18,,0,-112.323022,33.740874
202764,41,,0,0,0,, -1,,0,-112.354371,33.682966
202763,42,,0,0,0,, -1,,0,-112.357667,33.686277
202762,43,,0,0,0,, -1,,0,-112.381543,33.686830
202761,44,,0,0,0,, -1,,0,-112.389691,33.684683
202760,45,,0,0,1,, 7,,0,-112.315898,33.715288
202759,46,,0,0,0,, -1,,0,-112.337492,33.711459
202756,47,,0,0,0,, -1,,0,-112.325665,33.726993
202755,48,,0,0,0,, -1,,0,-112.330772,33.726815
202753,49,,0,0,0,, -1,,0,-112.403023,33.681234
202752,50,,0,0,0,, -1,,0,-112.396280,33.687252
202750,51,,0,0,1,, 1,,0,-112.313608,33.707118
202749,52,,0,0,0,, -1,,0,-112.334077,33.698525
202748,53,,0,0,0,, -1,,0,-112.334078,33.698246
202747,54,,0,0,1,, 1,,0,-112.313302,33.707018
202746,55,,0,0,0,, -1,,0,-112.452831,33.624200
202745,56,,0,0,1,, 15,,0,-112.435456,33.624241
633,57,,1,0,1,, 633,,0,-112.400922,33.631194
202744,58,,0,0,0,, -1,,0,-112.393981,33.631331
202743,59,,0,0,1,, 13,,0,-112.401674,33.624152
202739,60,,0,0,1,, 11,,0,-112.385243,33.623953
202735,61,,0,0,0,, -1,,0,-112.390686,33.669473
202734,62,,0,0,0,, -1,,0,-112.395598,33.674156
202733,63,,0,0,0,, -1,,0,-112.393117,33.666132
202732,64,,0,0,0,, -1,,0,-112.404481,33.654611
202731,65,,0,0,0,, -1,,0,-112.401189,33.668896
202730,66,,0,0,0,, -1,,0,-112.404621,33.638801
202729,67,,0,0,0,, -1,,0,-112.394087,33.638726
202728,68,,0,0,1,, 12,,0,-112.393926,33.624102
202705,69,,0,0,1,, 14,,0,-112.426766,33.624238
622,70,,1,0,1,, 622,,0,-112.434703,33.645963
202623,71,,0,0,0,, -1,,0,-112.434548,33.653280
202622,72,,0,0,0,, -1,,0,-112.426702,33.649428
624,73,,1,0,1,, 624,,0,-112.398425,33.646390
628,74,,1,0,1,, 628,,0,-112.434767,33.631469
202621,75,,0,0,0,, -1,,0,-112.426698,33.631545
202620,76,,0,0,0,, -1,,0,-112.426821,33.653240
202619,77,,0,0,0,, -1,,0,-112.406936,33.645969
202618,78,,0,0,0,, -1,,0,-112.426743,33.638872
202617,79,,0,0,0,, -1,,0,-112.433938,33.638784
202616,80,,0,0,0,, -1,,0,-112.435568,33.653276
202615,81,,0,0,0,, -1,,0,-112.434326,33.645281
202614,82,,0,0,0,, -1,,0,-112.425669,33.657282
202613,83,,0,0,0,, -1,,0,-112.428453,33.661048
202612,84,,0,0,0,, -1,,0,-112.418240,33.640639
202611,85,,0,0,0,, -1,,0,-112.407114,33.677112
202610,86,,0,0,0,, -1,,0,-112.427130,33.665052
202609,87,,0,0,0,, -1,,0,-112.424924,33.666530
202608,88,,0,0,0,, -1,,0,-112.407417,33.677491
202607,89,,0,0,0,, -1,,0,-112.418467,33.640626
202606,90,,0,0,0,, -1,,0,-112.435072,33.638808
202604,91,,0,0,0,, -1,,0,-112.409418,33.638797
202603,92,,0,0,0,, -1,,0,-112.414604,33.630937
202602,93,,0,0,0,, -1,,0,-112.417136,33.638814
202600,94,,0,0,1,, 4,,0,-112.418422,33.626198
202599,95,,0,0,0,, -1,,0,-112.418247,33.636862
202597,96,,0,0,0,, -1,,0,-112.418445,33.636825
202596,97,,0,0,1,, 4,,0,-112.418553,33.626198
202588,98,,0,0,0,, -1,,0,-112.419678,33.638828
202587,99,,0,0,0,, -1,,0,-112.418616,33.636979
202586,100,,0,0,0,, -1,,0,-112.419381,33.639043
202585,101,,0,0,0,, -1,,0,-112.419523,33.638935
202584,102,,0,0,0,, -1,,0,-112.418026,33.640486
202583,103,,0,0,0,, -1,,0,-112.417276,33.638481
202582,104,,0,0,0,, -1,,0,-112.417192,33.638624
202581,105,,0,0,0,, -1,,0,-112.415733,33.672911
621,106,,1,0,1,, 621,,0,-112.425654,33.670727
623,107,,1,0,1,, 623,,0,-112.402538,33.665005
202580,108,,0,0,0,, -1,,0,-112.402696,33.679682
202579,109,,0,0,0,, -1,,0,-112.405285,33.678920
202578,110,,0,0,0,, -1,,0,-112.405692,33.679114
202577,111,,0,0,0,, -1,,0,-112.404774,33.681245
202576,112,,0,0,0,, -1,,0,-112.403035,33.679927
202575,113,,0,0,0,, -1,,0,-112.403932,33.680592
627,114,,1,0,1,, 627,,0,-112.367910,33.645483
202525,115,,0,0,0,, -1,,0,-112.359637,33.645901
649,116,,1,0,1,, 649,,0,-112.379392,33.678514
651,117,,1,0,1,, 651,,0,-112.353206,33.650097
202524,118,,0,0,0,, -1,,0,-112.365527,33.658733
202523,119,,0,0,0,, -1,,0,-112.348458,33.654638
202522,120,,0,0,0,, -1,,0,-112.337504,33.649679
2197,121,,1,0,1,, 2197,,0,-112.368001,33.631027
202521,122,,0,0,0,, -1,,0,-112.359366,33.631134
202520,123,,0,0,0,, -1,,0,-112.354606,33.678725
202519,124,,0,0,0,, -1,,0,-112.371726,33.670753
202518,125,,0,0,0,, -1,,0,-112.364881,33.665829
202517,126,,0,0,0,, -1,,0,-112.358748,33.661900
202516,127,,0,0,0,, -1,,0,-112.370098,33.654190
202515,128,,0,0,0,, -1,,0,-112.376931,33.653079
202514,129,,0,0,0,, -1,,0,-112.388740,33.646884
202513,130,,0,0,0,, -1,,0,-112.368074,33.638628
202512,131,,0,0,0,, -1,,0,-112.359398,33.638646
626,132,,1,0,1,, 626,,0,-112.376209,33.643504
637,133,,1,0,1,, 637,,0,-112.385328,33.631276
202511,134,,0,0,0,, -1,,0,-112.385342,33.638720
202510,135,,0,0,0,, -1,,0,-112.376662,33.631028
202509,136,,0,0,0,, -1,,0,-112.381016,33.638649
202508,137,,0,0,0,, -1,,0,-112.376811,33.638616
625,138,,1,0,1,, 625,,0,-112.391910,33.650741
650,139,,1,0,1,, 650,,0,-112.373945,33.664667
202506,140,,0,0,0,, -1,,0,-112.387473,33.671728
2061,141,,1,0,1,, 2061,,0,-112.384710,33.658775
202505,142,,0,0,0,, -1,,0,-112.379549,33.672571
202504,143,,0,0,0,, -1,,0,-112.373609,33.656892
202503,144,,0,0,0,, -1,,0,-112.370448,33.658836
640,145,,1,0,1,, 640,,0,-112.350044,33.631097
202502,146,,0,0,0,, -1,,0,-112.355060,33.638642
202501,147,,0,0,1,, 9,,0,-112.341961,33.627740
202500,148,,0,0,0,, -1,,0,-112.342096,33.638688
202499,149,,0,0,0,, -1,,0,-112.350235,33.638677
202498,150,,0,0,1,, 19,,0,-112.342079,33.632787
202497,151,,0,0,0,, -1,,0,-112.342088,33.632453
202496,152,,0,0,1,, 10,,0,-112.359348,33.628814
202495,153,,0,0,1,, 3,,0,-112.330326,33.624071
652,154,,1,0,1,, 652,,0,-112.350722,33.664185
202493,155,,0,0,0,, -1,,0,-112.336609,33.674255
202492,156,,0,0,0,, -1,,0,-112.358092,33.662784
202488,157,,0,0,0,, -1,,0,-112.389505,33.692538
202487,158,,0,0,0,, -1,,0,-112.389369,33.692288
202485,159,,0,0,0,, -1,,0,-112.377266,33.724753
202484,160,,0,0,0,, -1,,0,-112.394627,33.724719
619,161,,1,0,1,, 619,,0,-112.395386,33.710522
202482,162,,0,0,0,, -1,,0,-112.412297,33.724658
202481,163,,0,0,0,, -1,,0,-112.429623,33.724665
202480,164,,0,0,0,, -1,,0,-112.409303,33.712999
202479,165,,0,0,0,, -1,,0,-112.429670,33.734723
202478,166,,0,0,1,, 17,,0,-112.412238,33.731975
617,167,,1,0,1,, 617,,0,-112.441006,33.733257
202477,168,,0,0,0,, -1,,0,-112.437714,33.724657
2142,169,,1,0,1,, 2142,,0,-112.426521,33.711249
202476,170,,0,0,0,, -1,,0,-112.409310,33.696656
202475,171,,0,0,0,, -1,,0,-112.404888,33.724662
2136,172,,1,0,1,, 2136,,0,-112.403456,33.731610
202474,173,,0,0,0,, -1,,0,-112.404232,33.724651
2147,174,,1,0,1,, 2147,,0,-112.369061,33.716073
202467,175,,0,0,0,, -1,,0,-112.359900,33.696558
202466,176,,0,0,0,, -1,,0,-112.360367,33.696725
202465,177,,0,0,0,, -1,,0,-112.342605,33.724867
202464,178,,0,0,0,, -1,,0,-112.342753,33.711155
646,179,,1,0,1,, 646,,0,-112.373623,33.693131
2137,180,,1,0,1,, 2137,,0,-112.385962,33.731851
767,181,,1,0,1,, 767,,0,-112.341724,33.710223
202463,182,,0,0,0,, -1,,0,-112.348458,33.711168
2148,183,,1,0,1,, 2148,,0,-112.349574,33.720271
766,184,,1,0,1,, 766,,0,-112.342926,33.733310
202462,185,,0,0,0,, -1,,0,-112.335717,33.724890
202370,186,,0,0,0,, -1,,0,-112.324998,33.649988
202354,187,,0,0,1,, 2,,0,-112.310974,33.638683
202353,188,,0,0,0,, -1,,0,-112.324770,33.636660
